,queries,entities,types,location_code,language_code,search_partners,competition,cpc,search_volume,categories,monthly_searches
0,best mutual funds 2020 for sip,n.a.,uncategorized,2840,en,False,,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 0}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 10}, {'year': 2020, 'month': 9, 'search_volume': 0}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 10}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 0}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
1,best mutual funds broker,n.a.,uncategorized,2840,en,False,0.5078834209268992,12.253273,480.0,"[10012, 10095, 11819, 11831]","[{'year': 2020, 'month': 12, 'search_volume': 320}, {'year': 2020, 'month': 11, 'search_volume': 170}, {'year': 2020, 'month': 10, 'search_volume': 170}, {'year': 2020, 'month': 9, 'search_volume': 390}, {'year': 2020, 'month': 8, 'search_volume': 480}, {'year': 2020, 'month': 7, 'search_volume': 590}, {'year': 2020, 'month': 6, 'search_volume': 590}, {'year': 2020, 'month': 5, 'search_volume': 590}, {'year': 2020, 'month': 4, 'search_volume': 590}, {'year': 2020, 'month': 3, 'search_volume': 720}, {'year': 2020, 'month': 2, 'search_volume': 1300}, {'year': 2020, 'month': 1, 'search_volume': 480}]"
2,mutual funds interest rate calculator,n.a.,uncategorized,2840,en,False,0.18303571428571427,4.022663,30.0,,"[{'year': 2020, 'month': 12, 'search_volume': 30}, {'year': 2020, 'month': 11, 'search_volume': 30}, {'year': 2020, 'month': 10, 'search_volume': 30}, {'year': 2020, 'month': 9, 'search_volume': 30}, {'year': 2020, 'month': 8, 'search_volume': 30}, {'year': 2020, 'month': 7, 'search_volume': 30}, {'year': 2020, 'month': 6, 'search_volume': 30}, {'year': 2020, 'month': 5, 'search_volume': 30}, {'year': 2020, 'month': 4, 'search_volume': 40}, {'year': 2020, 'month': 3, 'search_volume': 20}, {'year': 2020, 'month': 2, 'search_volume': 30}, {'year': 2020, 'month': 1, 'search_volume': 30}]"
3,mutual funds in german,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
4,mutual funds for first time investors,n.a.,uncategorized,2840,en,False,0.23214285714285712,5.22622,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 10}, {'year': 2020, 'month': 10, 'search_volume': 10}, {'year': 2020, 'month': 9, 'search_volume': 10}, {'year': 2020, 'month': 8, 'search_volume': 10}, {'year': 2020, 'month': 7, 'search_volume': 10}, {'year': 2020, 'month': 6, 'search_volume': 10}, {'year': 2020, 'month': 5, 'search_volume': 10}, {'year': 2020, 'month': 4, 'search_volume': 10}, {'year': 2020, 'month': 3, 'search_volume': 10}, {'year': 2020, 'month': 2, 'search_volume': 10}, {'year': 2020, 'month': 1, 'search_volume': 10}]"
5,best mutual funds for 70 year olds,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
6,best mutual funds canada 2021,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
7,mutual funds for 7 years,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
8,mutual funds top 10,n.a.,uncategorized,2840,en,False,0.33816425120772947,6.137984,590.0,"[10012, 10095, 11826, 11828]","[{'year': 2020, 'month': 12, 'search_volume': 590}, {'year': 2020, 'month': 11, 'search_volume': 480}, {'year': 2020, 'month': 10, 'search_volume': 480}, {'year': 2020, 'month': 9, 'search_volume': 480}, {'year': 2020, 'month': 8, 'search_volume': 480}, {'year': 2020, 'month': 7, 'search_volume': 480}, {'year': 2020, 'month': 6, 'search_volume': 480}, {'year': 2020, 'month': 5, 'search_volume': 480}, {'year': 2020, 'month': 4, 'search_volume': 590}, {'year': 2020, 'month': 3, 'search_volume': 590}, {'year': 2020, 'month': 2, 'search_volume': 590}, {'year': 2020, 'month': 1, 'search_volume': 590}]"
9,mutual funds with 0 expense ratio,n.a.,uncategorized,2840,en,False,,,,,"[{'year': 2021, 'month': 1, 'search_volume': None}, {'year': 2020, 'month': 12, 'search_volume': None}, {'year': 2020, 'month': 11, 'search_volume': None}, {'year': 2020, 'month': 10, 'search_volume': None}, {'year': 2020, 'month': 9, 'search_volume': None}, {'year': 2020, 'month': 8, 'search_volume': None}, {'year': 2020, 'month': 7, 'search_volume': None}, {'year': 2020, 'month': 6, 'search_volume': None}, {'year': 2020, 'month': 5, 'search_volume': None}, {'year': 2020, 'month': 4, 'search_volume': None}, {'year': 2020, 'month': 3, 'search_volume': None}, {'year': 2020, 'month': 2, 'search_volume': None}]"
10,mutual funds in federal bank,n.a.,uncategorized,2840,en,False,0.0,,10.0,,"[{'year': 2020, 'month': 12, 'search_volume': 10}, {'year': 2020, 'month': 11, 'search_volume': 0}, {'year': 2020, 'month': 10, 'search_volume': 0}, {'year': 2020, 'month': 9, 'search_volume': 0}, {'year': 2020, 'month': 8, 'search_volume': 0}, {'year': 2020, 'month': 7, 'search_volume': 0}, {'year': 2020, 'month': 6, 'search_volume': 0}, {'year': 2020, 'month': 5, 'search_volume': 0}, {'year': 2020, 'month': 4, 'search_volume': 0}, {'year': 2020, 'month': 3, 'search_volume': 10}, {'year': 2020, 'month': 2, 'search_volume': 0}, {'year': 2020, 'month': 1, 'search_volume': 0}]"
